time,x,y,vx,vy,omega,linear_velocity,distance_from_start,goal_status
86.914,-3.3170090039628857,1.7839281009080417,-0.0008832044880386561,5.827854036899867e-06,1.5390897196804995e-05,0.000883223715473209,10.272947246118553,SUCCEEDED
86.947,-3.3170380903520966,1.7839280032187905,-0.0008847595159937672,5.548628403530335e-06,1.3694735867100552e-05,0.0008847769144923965,10.272976331005381,SUCCEEDED
86.98,-3.317067227528936,1.783927903403932,-0.0008861140985331203,5.702135762389255e-06,1.458454060319727e-05,0.0008861324449377853,10.273005466704717,SUCCEEDED
87.014,-3.317097294565701,1.7839278015368587,-0.0008875341287344587,5.640239622383305e-06,1.4205760230790514e-05,0.0008875520502885634,10.2730355322009,SUCCEEDED
87.047,-3.317126526754179,1.7839277013431714,-0.0008890061175517144,5.706368242740103e-06,1.4554073970945898e-05,0.0008890244314319457,10.273064762907827,SUCCEEDED
87.08,-3.3171558047543144,1.7839276020348798,-0.0008904814420215395,5.7525645880025196e-06,1.4788766566765795e-05,0.0008905000227872539,10.273094039409438,SUCCEEDED
87.115,-3.3171860173168213,1.7839275008696975,-0.0008918735097678328,5.811462129485635e-06,1.5108754579200127e-05,0.0008918924433571994,10.273124250407133,SUCCEEDED
87.148,-3.317215391090162,1.7839274003900807,-0.0008934441029912446,5.763466991790826e-06,1.4784969586609419e-05,0.0008934626924061212,10.27315362268897,SUCCEEDED
87.18,-3.3172448093822027,1.783927302257233,-0.0008946450514328721,5.697927184091652e-06,1.4411699733745659e-05,0.0008946631960841586,10.273183039452114,SUCCEEDED
87.214,-3.3172751727675878,1.7839271970795032,-0.0008962408277337637,5.638998314346684e-06,1.4009292897286815e-05,0.0008962585673782377,10.27321340131423,SUCCEEDED
87.247,-3.3173046883530173,1.7839270975483976,-0.0008976869368347307,5.732625369328557e-06,1.4528947363412328e-05,0.0008977052409100367,10.273242915380825,SUCCEEDED
87.28,-3.317334252693598,1.783926996557401,-0.0008992659688995819,5.743384477746155e-06,1.4550640887010526e-05,0.0008992843094851389,10.273272478218288,SUCCEEDED
87.314,-3.31736476107806,1.7839268938629878,-0.0009006583448355132,5.811691899949373e-06,1.4937412139679389e-05,0.0009006770952370145,10.273302985030254,SUCCEEDED
87.347,-3.317394421570648,1.7839267924770659,-0.0009020574541704762,5.8099998590446495e-06,1.4908769620179283e-05,0.0009020761645908193,10.27333264401579,SUCCEEDED
87.38,-3.3174241266816713,1.78392669313277,-0.0009034484477354852,5.759555350589177e-06,1.4596441778137297e-05,0.0009034668063595333,10.273362347586653,SUCCEEDED
87.414,-3.3174547847469267,1.7839265878908879,-0.0009050103726510356,5.76381218416857e-06,1.4568860839109882e-05,0.0009050287266915126,10.273393004100464,SUCCEEDED
87.447,-3.3174845857175352,1.7839264883759955,-0.0009064475538823718,5.662352383703203e-06,1.3944086133493002e-05,0.0009064652393632382,10.27342280352385,SUCCEEDED
87.48,-3.3175144406958372,1.783926384058986,-0.0009079199948168994,5.768603869100233e-06,1.4546160549406553e-05,0.0009079383204705689,10.27345265701713,SUCCEEDED
87.514,-3.3175452452657894,1.7839262806056075,-0.0009094534424761731,5.771273374871129e-06,1.4513369158309422e-05,0.0009094717541672909,10.273483459996031,SUCCEEDED
87.547,-3.3175751941682106,1.7839261784436466,-0.000910807176920436,5.8931815606001506e-06,1.5220385855516653e-05,0.000910826242001558,10.273513407373857,SUCCEEDED
87.58,-3.317605189704908,1.7839260763746903,-0.0009124143107957484,5.757781203704733e-06,1.4368856968394134e-05,0.0009124324778246718,10.273543401380051,SUCCEEDED
87.614,-3.3176361451983754,1.7839259712130522,-0.0009138089705882759,5.902912384414333e-06,1.5226669926139783e-05,0.0009138280358482238,10.273574355291599,SUCCEEDED
87.647,-3.317666237705242,1.7839258690449167,-0.000915376547184946,5.74882167123147e-06,1.4246744552501642e-05,0.0009153945991138691,10.273604446259789,SUCCEEDED
87.68,-3.317696378722242,1.783925766867459,-0.0009165954507434343,5.773927620310025e-06,1.4417029314252192e-05,0.0009166136364705274,10.273634585733458,SUCCEEDED
87.714,-3.3177274810375312,1.7839256619886545,-0.0009182758022735929,5.65720615810386e-06,1.36685822238835e-05,0.000918293228235255,10.273665686448364,SUCCEEDED
87.741,-3.317757720152504,1.783925559000173,-0.0009195379734255586,6.000434761407644e-06,1.5721085577550885e-05,0.0009195575511021098,10.27369592402173,SUCCEEDED
87.78,-3.317788006671664,1.7839254551067973,-0.0009211699767841602,5.695555227811626e-06,1.3835083092340434e-05,0.0009211875843051096,10.273726209007332,SUCCEEDED
87.814,-3.3178192606010115,1.7839253491077218,-0.0009227689124796055,5.7055232679494296e-06,1.3852758631720075e-05,0.0009227865510693982,10.273757461337091,SUCCEEDED
87.846,-3.3178496463133613,1.7839252449335787,-0.0009241567766232736,5.83328956550649e-06,1.4585929748912757e-05,0.0009241751863396215,10.273787845510045,SUCCEEDED
87.88,-3.317880078500437,1.783925141628609,-0.0009256642072913592,5.8359431099068435e-06,1.4573942094302327e-05,0.0009256826037537502,10.273818276140917,SUCCEEDED
87.914,-3.3179114831480097,1.7839250352453386,-0.0009270517984990601,5.7985987359720694e-06,1.4339473357248106e-05,0.0009270699330943933,10.273849679179433,SUCCEEDED
87.947,-3.317942011898857,1.7839249322001163,-0.000928571740586945,5.7568880186153485e-06,1.406669420605743e-05,0.0009285895859723646,10.273880206360898,SUCCEEDED
87.98,-3.3179725936369535,1.7839248258303433,-0.0009300704825169324,5.711424087418652e-06,1.3770896106941745e-05,0.000930088018853262,10.273910786571133,SUCCEEDED
88.014,-3.318004150596785,1.7839247182631424,-0.0009316450098090684,5.813860351086411e-06,1.4329611589263152e-05,0.000931663150110769,10.27394234192353,SUCCEEDED
88.047,-3.3180348276599214,1.7839246143534786,-0.0009330569656830564,5.867565976219179e-06,1.4630455896624462e-05,0.0009330754147121002,10.273973017414807,SUCCEEDED
88.08,-3.318065553484566,1.783924509740844,-0.0009346086475191396,5.8744432409511885e-06,1.4628634133353178e-05,0.000934627109119432,10.274003741672665,SUCCEEDED
88.114,-3.318097261194061,1.7839244018170624,-0.0009360487899351155,5.832435236304436e-06,1.4366438214950828e-05,0.0009360669604466229,10.27403544776487,SUCCEEDED
88.147,-3.3181280857801103,1.783924296900111,-0.0009375856569306414,5.879336153890465e-06,1.4596818414872565e-05,0.0009376040905817726,10.274066270778668,SUCCEEDED
88.18,-3.318158958778187,1.7839241918190536,-0.000939047700259958,5.857160648682885e-06,1.444511279420987e-05,0.0009390659666361999,10.274097142202029,SUCCEEDED
88.214,-3.3181908183007787,1.7839240832999939,-0.000940542588833276,5.796778344660415e-06,1.4067891473234807e-05,0.0009405604520967155,10.274129000100721,SUCCEEDED
88.247,-3.3182217901468687,1.7839239778398406,-0.0009420273253020098,5.83779347973021e-06,1.4277960199603895e-05,0.0009420454136868194,10.274159970367673,SUCCEEDED
88.28,-3.3182528108691662,1.7839238722780246,-0.0009435576007363709,5.894108281506945e-06,1.45664089203807e-05,0.0009435760098793372,10.274190989507442,SUCCEEDED
88.314,-3.3182848225088564,1.7839237632210432,-0.0009450558924746336,5.833479486112472e-06,1.418933253752472e-05,0.000945073896255706,10.274222999515791,SUCCEEDED
88.347,-3.3183159422126267,1.783923657228659,-0.0009465285707615529,5.807504460106584e-06,1.4012732619312296e-05,0.0009465463868062474,10.274254117633323,SUCCEEDED
88.38,-3.3183471107760107,1.7839235510461833,-0.0009480179521200332,5.850059708141e-06,1.4232027215510673e-05,0.0009480360018166243,10.274285284608318,SUCCEEDED
88.413,-3.3183792750364107,1.7839234414859813,-0.0009495089235229497,5.7723918025103896e-06,1.3749381768750713e-05,0.0009495264695398609,10.2743174472294,SUCCEEDED
88.447,-3.3184105430035884,1.7839233349978518,-0.0009510580913559109,5.846307547818773e-06,1.414654921969947e-05,0.0009510760602840825,10.274348713602684,SUCCEEDED
88.48,-3.318441859916578,1.7839232282959845,-0.0009525350588507839,5.818750924331722e-06,1.3960599552092758e-05,0.0009525528311869037,10.274380028919959,SUCCEEDED
88.514,-3.3184741771566633,1.7839231182189565,-0.0009541349733193186,5.92502779573199e-06,1.454363921218048e-05,0.0009541533698863286,10.2744123445129,SUCCEEDED
88.547,-3.318505593676849,1.7839230110988042,-0.0009555266782657108,5.783667680175268e-06,1.3697139155187252e-05,0.000955544181966139,10.274443759433426,SUCCEEDED
88.58,-3.3185370593673524,1.7839229039012292,-0.0009570808064554962,5.858287290050167e-06,1.4098476270465868e-05,0.0009570987355625727,10.274475223520506,SUCCEEDED
88.614,-3.3185695299607834,1.783922793243501,-0.0009586407768789646,5.893903649363831e-06,1.4275303812166229e-05,0.0009586588951213735,10.274507692459833,SUCCEEDED
